datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2025-09-12,SHSE.601069,西部黄金,52100,31.055519999999998,31.35,1633335.0,15342.408000000054,0.009482372215953912
2025-09-15,SZSE.002115,三维通信,123200,12.98649,12.76,1572032.0,-27903.56799999997,-0.01744043232620976
2025-09-16,SHSE.600776,东方通信,28100,13.90695,14.0,393400.0,2614.7050000000163,0.006690899154739219
2025-09-16,SHSE.603301,振德医疗,10700,36.228105,39.0,417300.0,29659.276499999978,0.07651228238407716
2025-09-16,SZSE.002335,科华数据,5700,68.33415,69.6,396719.99999999994,7215.344999999972,0.0185244127570182
2025-09-16,SZSE.000718,苏宁环球,114900,3.4016999999999995,3.5,402150.0,11294.670000000042,0.028897316047858532
2025-09-19,SHSE.600816,建元信托,112500,3.4417199999999997,3.22,362250.0,-24943.49999999994,-0.06442127773322627
2025-09-19,SHSE.605133,嵘泰股份,8200,46.90344,44.4,364080.0,-20528.208000000042,-0.05337433672242387
2025-09-19,SZSE.000737,北方铜业,27500,14.077034999999999,13.71,377025.0,-10093.462499999965,-0.026073317285919852
2025-09-19,SZSE.002249,大洋电机,37700,10.26513,9.66,364182.0,-22813.400999999954,-0.05895005713517499
2025-09-22,SZSE.002249,大洋电机,37700,10.26513,10.63,400751.00000000006,13755.599000000104,0.03554460586470924
2025-09-22,SZSE.002067,景兴纸业,122000,6.223109999999999,6.09,742980.0,-16239.419999999925,-0.021389626730043243
2025-09-22,SHSE.600376,首开股份,107600,7.053525,7.99,859724.0,100764.71000000008,0.13276694985840426
2025-09-23,SZSE.002249,大洋电机,37700,10.26513,11.69,440713.0,53717.599000000046,0.1388068149161288
2025-09-23,SHSE.603297,永新光学,6700,117.04849499999999,118.01,790667.0,6442.083500000066,0.008214586612156013
2025-09-23,SZSE.002154,报 喜 鸟,173900,4.512255,4.59,798201.0,13519.855500000063,0.017229744329609113
2025-09-24,SHSE.603297,永新光学,3400,116.03472103960395,115.66,393244.0,-1274.0515346534085,-0.003229387171759108
2025-09-24,SHSE.600170,上海建工,118200,3.3516749999999997,3.25,384150.0,-12017.984999999986,-0.030335578479416973
2025-09-24,SHSE.601869,长飞光纤,3500,112.35614999999999,110.3,386050.0,-7196.524999999965,-0.018300288858242208
2025-09-24,SZSE.000981,山子高科,96300,4.112055,3.82,367866.0,-28124.896499999973,-0.07102409865626791
