datetime,cash,holding_value,total_value
2025-04-29,1200100.00800836,886045.0,2086145.00800836
2025-04-30,2051989.6100284099,0.0,2051989.6100284099
2025-05-06,1231690.6848380598,911598.0,2143288.68483806
2025-05-07,2174762.54921996,0.0,2174762.54921996
2025-05-08,1306617.93143876,913968.0,2220585.93143876
2025-05-09,1276476.3407840598,864960.0,2141436.34078406
2025-05-12,1310360.8217306598,870121.0,2180481.82173066
2025-05-13,1786325.0955431599,468090.0,2254415.09554316
2025-05-14,1377724.17635486,927616.0,2305340.17635486
2025-05-15,2249264.98155806,0.0,2249264.98155806
2025-05-16,1349827.59781316,914634.0,2264461.59781316
2025-05-19,2276365.38776786,0.0,2276365.38776786
2025-05-20,2276365.38776786,0.0,2276365.38776786
2025-05-21,1368302.8315919603,863811.0,2232113.83159196
2025-05-22,1295579.1576071603,864064.0,2159643.1576071605
2025-05-23,1271743.7678665104,847573.0,2119316.7678665104
2025-05-26,424835.8855465105,1758228.0,2183063.8855465106
2025-05-27,1759285.5643345108,450039.0,2209324.564334511
2025-05-28,876862.383839811,1412850.0,2289712.383839811
2025-05-29,1909797.302517561,368292.0,2278089.3025175612
2025-05-30,1362471.2823893612,909374.0,2271845.2823893614
2025-06-03,1330749.757256661,908290.0,2239039.757256661
2025-06-04,1325465.4156460112,926885.0,2252350.415646011
2025-06-05,1308094.3154309615,941010.0,2249104.3154309615
2025-06-06,1370339.5367989116,906885.0,2277224.5367989116
2025-06-09,2287120.1840654616,0.0,2287120.1840654616
2025-06-10,1372681.8043709616,901259.0,2273940.8043709616
2025-06-11,1371378.1407602618,945460.0,2316838.1407602616
2025-06-12,1394055.384750262,963909.0,2357964.384750262
2025-06-13,1388558.2293317618,972499.0,2361057.2293317616
2025-06-16,1390979.726909512,1019984.0,2410963.7269095117
2025-06-17,1464959.953468612,1007393.0,2472352.953468612
2025-06-18,1390016.3693785123,1117116.0,2507132.3693785123
2025-06-19,1564565.1723713626,1086096.0,2650661.1723713623
2025-06-20,1544920.3226519625,1114706.0,2659626.3226519627
2025-06-23,1305282.1695266627,1482923.0,2788205.1695266627
2025-06-24,2473071.1339511625,365584.0,2838655.1339511625
